Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
30-09-2021,165.8000031,166.3925018,163.6994934,164.2519989,164.2519989,56848000,SRF
01-10-2021,164.4505005,165.4584961,162.7969971,164.1629944,164.1629944,56712000,SRF
04-10-2021,163.9694977,163.9994965,158.8125,159.4889984,159.4889984,90462000,SRF
05-10-2021,160.2250061,163.036499,160.1230011,161.0500031,161.0500031,65384000,SRF
06-10-2021,160.6764984,163.2169952,159.9309998,163.1004944,163.1004944,50660000,SRF
07-10-2021,164.5769958,166.2875061,164.1529999,165.1215057,165.1215057,48182000,SRF
08-10-2021,165.8500061,166.0715027,164.4100037,164.4309998,164.4309998,39964000,SRF
11-10-2021,163.75,164.6295013,161.9049988,162.3150024,162.3150024,40684000,SRF
12-10-2021,162.8500061,163.3764954,161.8139954,162.3665009,162.3665009,36392000,SRF
13-10-2021,163.4855042,164.4190063,163.0545044,164.2140045,164.2140045,48402000,SRF
14-10-2021,165.1224976,165.6300049,164.5390015,164.9929962,164.9929962,42190000,SRF
15-10-2021,165.5709991,170.5209961,165.1999969,170.451004,170.451004,103598000,SRF
18-10-2021,169.4179993,172.4584961,169.2550049,172.3370056,172.3370056,63482000,SRF
19-10-2021,171.7144928,172.7344971,171.1000061,172.2075043,172.2075043,47722000,SRF
20-10-2021,172.6329956,173.1430054,170.0184937,170.753006,170.753006,42796000,SRF
21-10-2021,170.7124939,172.0140076,170.1499939,171.7505035,171.7505035,37628000,SRF
22-10-2021,171.0500031,171.4920044,166.5650024,166.7774963,166.7774963,62782000,SRF
25-10-2021,166.75,167.3899994,164.8849945,166.0184937,166.0184937,44520000,SRF
26-10-2021,167.4754944,170.8059998,167.1990051,168.8034973,168.8034973,53966000,SRF
27-10-2021,169.3999939,171.8500061,168.5724945,169.6244965,169.6244965,54044000,SRF
28-10-2021,170.1049957,173.9499969,169.3000031,172.3285065,172.3285065,114174000,SRF
29-10-2021,165.0010071,168.7409973,163.6660004,168.6215057,168.6215057,129722000,SRF
01-11-2021,168.0899963,168.7929993,164.6009979,165.9055023,165.9055023,72178000,SRF
02-11-2021,165.7505035,166.5559998,164.1775055,165.6374969,165.6374969,52552000,SRF
03-11-2021,165.4499969,169.7460022,164.8760071,169.1999969,169.1999969,67944000,SRF
04-11-2021,168.5,174.9315033,168.25,173.8500061,173.8500061,107060000,SRF
05-11-2021,173.8500061,178.3125,173.848999,175.9494934,175.9494934,99940000,SRF
08-11-2021,176.1620026,178.9499969,174.3930054,174.4490051,174.4490051,61480000,SRF
09-11-2021,175.7624969,179.6885071,175.0715027,178.8114929,178.8114929,85898000,SRF
10-11-2021,178.1934967,180.2725067,173.1544952,174.1024933,174.1024933,80548000,SRF
11-11-2021,175.6499939,177.1620026,173.3735046,173.625,173.625,45288000,SRF
12-11-2021,174.25,177.036499,172.3524933,176.2575073,176.2575073,53788000,SRF
15-11-2021,176.8500061,179.6940002,176.2904968,177.2839966,177.2839966,58594000,SRF
16-11-2021,176.9499969,178.8249969,176.2575073,177.0350037,177.0350037,44342000,SRF
17-11-2021,178.2359924,179.3625031,177.2675018,177.4499969,177.4499969,51206000,SRF
18-11-2021,178.3175049,185.2100067,178.0500031,184.8029938,184.8029938,114070000,SRF
19-11-2021,185.6345062,188.1074982,183.7859955,183.8285065,183.8285065,98734000,SRF
22-11-2021,183.8190002,185.6730042,178.375,178.6284943,178.6284943,96844000,SRF
23-11-2021,179.2519989,181.0525055,176.385498,179.0019989,179.0019989,73804000,SRF
24-11-2021,178.1334991,180.6820068,176.8424988,179.0204926,179.0204926,46560000,SRF
26-11-2021,180.1049957,181.6750031,175.2075043,175.2279968,175.2279968,59826000,SRF
29-11-2021,177.3820038,179.8000031,176.5749969,178.0785065,178.0785065,65312000,SRF
30-11-2021,178.1750031,179.2884979,174.6004944,175.3535004,175.3535004,80022000,SRF
01-12-2021,177.25,177.9940033,172.0800018,172.1860046,172.1860046,74916000,SRF
02-12-2021,173,174.6349945,171.1875,171.8679962,171.8679962,64726000,SRF
03-12-2021,172.75,173.4934998,166.9299927,169.489502,169.489502,80712000,SRF
06-12-2021,169.6499939,173.6954956,166.934494,171.3684998,171.3684998,68860000,SRF
07-12-2021,174.6000061,177.4994965,173.3345032,176.164505,176.164505,66410000,SRF
08-12-2021,176.1504974,177.1799927,174.7505035,176.1580048,176.1580048,45254000,SRF
09-12-2021,175.75,176.9694977,174.1394958,174.1710052,174.1710052,46062000,SRF
10-12-2021,175.4170074,175.927002,170.5,172.2120056,172.2120056,60690000,SRF
13-12-2021,172,172.1000061,169.1300049,169.5675049,169.5675049,62170000,SRF
14-12-2021,167.5500031,169.4989929,166.4400024,169.091507,169.091507,55976000,SRF
15-12-2021,168.5980072,173.6000061,165.1950073,173.3150024,173.3150024,75794000,SRF
16-12-2021,173.3684998,174.1660004,168.1605072,168.8710022,168.8710022,60876000,SRF
17-12-2021,167.710495,170.8984985,165.6134949,170.0175018,170.0175018,85542000,SRF
